SALES_DTL_ID,COMP_CODE,DIV_CODE,DOC_TYPE,INVNO,SM_CODE,INVDATE,ITEM_SERIAL,ITEM_CODE,ISCOMBOITEM,IS_REG_ITEM,SIZE,QTY,SALES_RATE,PUR_RATE,ITEM_DISCOUNT,NET_SALES_RATE,ANY_GIFT_ITEM,GIFT_ITEM_DESC,AMOUNT,NET_VALUE,TAX_PRCNT,Sales_Amnt,CST_AMT,CASHIER_CODE,CBU,DOC,MBU,DOM,ISDELETED,DELETEDON,DELETEDBY,VAT_PCT,Unit_Pur_Cost,Stk_Source_Refno,BTDI,DT_BTDI,BTDI_BY,hsn_code,gst_tax_pct,gst_tax_amnt,cgst_tax_amnt,sgst_tax_amnt,igst_tax_amnt,gst_sales_tax_amnt,item_desc
102,C015,DIV19,INR,INR/00000021/19-20/A121F9A8-F674-4B4E-8296-30A4DDA63E47,7,00:00.0,1,89916,0,1,9,1,610,0,0,610,0,NULL,610,610,0,0,0,CSH001,joypur,11:13.3,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,29.05,14.52,14.52,0,580.95,Footwear-Lth
103,C015,DIV19,INC,INC/00000036/19-20/38D89162-DB8D-4990-9F56-4C9214FF2D45,10,00:00.0,1,3634,0,1,1,1,33,0,0,33,0,NULL,33,33,0,0,0,CSH001,joypur,11:57.8,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,5.03,2.52,2.52,0,27.97,Polish
104,C015,DIV19,INC,INC/00000037/19-20/D7FF58D7-74A3-4B67-AD89-D2D65CFE57C9,7,00:00.0,1,8853,0,0,1,1,355,0,0,355,0,NULL,355,355,0,0,0,CSH001,joypur,16:43.8,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42023120,18,54.15,27.08,27.08,0,300.85,Wallet
105,C015,DIV19,INC,INC/00000038/19-20/89DC334C-6634-419B-BE92-20F887035936,2,00:00.0,1,82470,0,1,8,1,585,0,0,585,0,NULL,585,585,0,0,0,CSH001,joypur,17:53.7,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,27.86,13.93,13.93,0,557.14,Footwear-Lth
106,C015,DIV19,INR,INR/00000022/19-20/C8143CE9-E5A1-44C1-BE55-1FFF7A79AF4F,6,00:00.0,1,10247,0,0,7,1,240,0,0,240,0,NULL,240,240,0,0,0,CSH001,joypur,22:24.3,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,11.43,5.71,5.71,0,228.57,Footwear-Syn
107,C015,DIV19,INC,INC/00000039/19-20/930EE9BF-E824-4DC6-BADD-9B22496B466E,8,00:00.0,1,13888,0,0,1,1,579,0,0,579,0,NULL,579,579,0,0,0,CSH001,joypur,23:36.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42033000,18,88.32,44.16,44.16,0,490.68,Belt
108,C015,DIV19,INC,INC/00000040/19-20/B265685D-CB5A-4E70-B8F2-EE96E8EA14F8,6,00:00.0,1,106803,0,1,7,1,490,0,0,490,0,NULL,490,490,0,0,0,CSH001,joypur,29:37.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,23.33,11.67,11.67,0,466.67,Footwear-Syn
109,C015,DIV19,INC,INC/00000040/19-20/B265685D-CB5A-4E70-B8F2-EE96E8EA14F8,6,00:00.0,2,60083,0,0,6,1,299,0,0,299,0,NULL,299,299,0,0,0,CSH001,joypur,29:37.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,14.24,7.12,7.12,0,284.76,Footwear-Syn
110,C015,DIV19,INC,INC/00000040/19-20/B265685D-CB5A-4E70-B8F2-EE96E8EA14F8,6,00:00.0,3,17244,0,0,6,1,600,0,0,600,0,NULL,600,600,0,0,0,CSH001,joypur,29:37.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,28.57,14.29,14.29,0,571.43,Footwear-Lth
111,C015,DIV19,INC,INC/00000041/19-20/220433BB-3A0D-4BFC-BD6F-2410339CDE21,10,00:00.0,1,13361,0,0,1,1,980,0,0,980,0,NULL,980,980,0,0,0,CSH001,joypur,31:19.4,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42021140,18,149.49,74.75,74.75,0,830.51,Brfcse-Lth
112,C015,DIV19,INC,INC/00000042/19-20/DCEC8B57-437A-46D5-9660-12419B594661,8,00:00.0,1,85861,0,1,8,1,499,0,0,499,0,NULL,499,499,0,0,0,CSH001,joypur,32:19.4,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,23.76,11.88,11.88,0,475.24,Footwear-Lth
113,C015,DIV19,INC,INC/00000042/19-20/DCEC8B57-437A-46D5-9660-12419B594661,2,00:00.0,2,82455,0,1,6,1,585,0,0,585,0,NULL,585,585,0,0,0,CSH001,joypur,32:19.4,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,27.86,13.93,13.93,0,557.14,Footwear-Lth
114,C015,DIV19,INC,INC/00000043/19-20/8E6A6928-F6CF-4620-820C-469674D1AE25,8,00:00.0,1,500221,0,1,1,1,299,0,0,299,0,NULL,299,299,0,0,0,CSH001,joypur,37:52.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42023120,18,45.61,22.81,22.81,0,253.39,Wallet
115,C015,DIV19,INC,INC/00000043/19-20/8E6A6928-F6CF-4620-820C-469674D1AE25,8,00:00.0,2,107118,0,1,1,1,205,0,0,205,0,NULL,205,205,0,0,0,CSH001,joypur,37:52.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42023120,18,31.27,15.64,15.64,0,173.73,Wallet
116,C015,DIV19,INC,INC/00000044/19-20/752CCA1E-B2ED-4B0F-9F90-122AA18F16B7,6,00:00.0,1,18183,0,1,5,1,250,0,0,250,0,NULL,250,250,0,0,0,CSH001,joypur,38:34.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,11.9,5.95,5.95,0,238.1,Footwear-Syn
117,C015,DIV19,INR,INR/00000023/19-20/E5940622-717A-473E-AAA2-2A443C23807B,2,00:00.0,1,89907,0,1,8,1,610,0,0,610,0,NULL,610,610,0,0,0,CSH001,joypur,41:53.8,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,29.05,14.52,14.52,0,580.95,Footwear-Lth
118,C015,DIV19,INC,INC/00000045/19-20/04DAB094-FE9C-4935-80DF-730EFF2FB2F3,10,00:00.0,1,3632,0,1,1,1,47,0,0,47,0,NULL,47,47,0,0,0,CSH001,joypur,45:13.8,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,7.17,3.58,3.58,0,39.83,Polish
